program,flag,time_compile,time_run
spectral,Os,111,370
spectral,Os,109,358
spectral,Os,105,385
spectral,Os,117,391
spectral,Os,110,375
spectral,Os,112,399
spectral,Os,117,366
spectral,Os,111,355
spectral,Os,114,369
spectral,Os,124,348
spectral,Os,74,366
spectral,Os,97,355
spectral,Os,95,381
spectral,Os,104,347
spectral,Os,114,364
spectral,Os,106,356
spectral,Os,103,347
spectral,Os,124,331
spectral,Os,111,339
spectral,Os,124,348
spectral,Os,113,369
spectral,Os,106,350
spectral,Os,105,337
spectral,Os,119,333
spectral,Os,94,346
spectral,Os,128,349
spectral,Os,116,360
spectral,Os,105,356
spectral,Os,112,334
spectral,Os,111,340
spectral,Os,93,347
spectral,Os,114,348
spectral,Os,103,351
spectral,Os,116,351
spectral,Os,108,350
spectral,Os,101,369
spectral,Os,91,353
spectral,Os,82,369
spectral,Os,112,383
spectral,Os,209,356
spectral,Os,450,356
spectral,Os,375,365
spectral,Os,384,352
spectral,Os,326,349
spectral,Os,385,375
spectral,Os,265,351
spectral,Os,111,346
spectral,Os,139,367
spectral,Os,108,343
spectral,Os,117,359
spectral,Os,111,349
spectral,Os,129,353
spectral,Os,107,349
spectral,Os,122,347
spectral,Os,114,332
spectral,Os,89,335
spectral,Os,84,343
spectral,Os,110,344
spectral,Os,122,345
spectral,Os,95,339
spectral,Os,121,353
spectral,Os,88,336
spectral,Os,94,354
spectral,Os,109,358
spectral,Os,83,356
spectral,Os,109,354
spectral,Os,107,367
spectral,Os,111,374
spectral,Os,90,351
spectral,Os,97,371
spectral,Os,72,362
spectral,Os,70,367
spectral,Os,113,376
spectral,Os,85,343
spectral,Os,113,363
spectral,Os,111,379
spectral,Os,92,373
spectral,Os,112,365
spectral,Os,109,393
spectral,Os,118,370
spectral,Os,105,379
spectral,Os,88,382
spectral,Os,88,385
spectral,Os,69,364
spectral,Os,101,349
n_body,no-flag,126,7851
n_body,no-flag,83,7882
n_body,no-flag,70,7935
n_body,no-flag,50,8131
n_body,no-flag,60,7777
n_body,no-flag,71,8104
n_body,no-flag,62,8099
n_body,no-flag,97,7631
n_body,no-flag,72,7795
n_body,no-flag,82,8379
n_body,no-flag,102,7919
n_body,no-flag,69,8317
n_body,no-flag,71,8051
n_body,no-flag,71,8432
n_body,no-flag,51,7993
n_body,no-flag,61,8077
n_body,no-flag,61,8309
n_body,no-flag,62,8027
n_body,no-flag,73,8534
n_body,no-flag,72,7730
n_body,no-flag,79,8376
n_body,no-flag,73,7918
n_body,no-flag,94,7896
n_body,no-flag,69,7702
n_body,no-flag,72,7821
n_body,no-flag,77,8548
n_body,no-flag,85,7863
n_body,no-flag,68,7960
n_body,no-flag,84,7946
n_body,no-flag,93,7807
n_body,no-flag,104,7745
n_body,no-flag,106,8217
n_body,no-flag,84,8552
n_body,no-flag,82,8037
n_body,no-flag,71,8252
n_body,no-flag,62,8350
n_body,no-flag,86,8077
n_body,no-flag,85,8576
n_body,no-flag,102,7850
n_body,no-flag,97,8764
n_body,no-flag,107,8315
n_body,no-flag,79,8428
n_body,no-flag,76,8041
n_body,no-flag,69,8230
n_body,no-flag,73,8040
n_body,no-flag,71,8039
n_body,no-flag,81,9060
n_body,no-flag,66,8469
n_body,no-flag,67,8116
n_body,no-flag,72,8398
n_body,no-flag,83,8311
n_body,no-flag,70,8101
n_body,no-flag,69,7713
n_body,no-flag,67,8594
n_body,no-flag,94,7504
n_body,no-flag,69,8205
n_body,no-flag,93,7605
n_body,no-flag,96,8022
n_body,no-flag,78,8044
n_body,no-flag,86,7749
n_body,no-flag,93,8323
n_body,no-flag,101,7995
n_body,no-flag,103,8209
n_body,no-flag,103,8376
n_body,no-flag,100,7894
n_body,no-flag,96,7597
n_body,no-flag,97,7812
n_body,no-flag,74,8850
n_body,no-flag,66,7629
n_body,no-flag,90,7896
n_body,no-flag,72,7878
